"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","52.114.36.100","192.168.43.84","TLSv1.2","393","Application Data"
"2","0.009670901","192.168.43.84","52.114.36.100","TLSv1.2","241","Application Data"
"3","0.393611719","127.0.0.1","127.0.0.53","DNS","93","Standard query 0x7076 A sockets.leetcode.com OPT"
"4","0.393660618","127.0.0.1","127.0.0.53","DNS","93","Standard query 0xac78 AAAA sockets.leetcode.com OPT"
"5","0.394224492","192.168.43.84","192.168.43.1","DNS","82","Standard query 0x6f30 A sockets.leetcode.com"
"6","0.394615251","192.168.43.84","192.168.43.1","DNS","82","Standard query 0x1c57 AAAA sockets.leetcode.com"
"7","0.396454784","52.114.36.100","192.168.43.84","TCP","56","443  >  47222 [ACK] Seq=338 Ack=186 Win=2049 Len=0"
"8","0.472438617","192.168.43.1","192.168.43.84","DNS","82","Standard query response 0x6f30 No such name A sockets.leetcode.com"
"9","0.472438818","192.168.43.1","192.168.43.84","DNS","82","Standard query response 0x1c57 No such name AAAA sockets.leetcode.com"
"10","0.472598168","127.0.0.53","127.0.0.1","DNS","93","Standard query response 0x7076 No such name A sockets.leetcode.com OPT"
"11","0.472673070","127.0.0.53","127.0.0.1","DNS","93","Standard query response 0xac78 No such name AAAA sockets.leetcode.com OPT"
"12","0.520074631","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","2a03:2880:f2ff:c0:face:b00c:0:167","TLSv1.2","119","Application Data"
"13","0.819044946","fe80::5cb5:ddff:fee5:ca4e","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","ICMPv6","88","Neighbor Solicitation for 2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8 from 5e:b5:dd:e5:ca:4e"
"14","0.819134470","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","fe80::5cb5:ddff:fee5:ca4e","ICMPv6","80","Neighbor Advertisement 2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8 (sol)"
"15","0.819424026","2a03:2880:f2ff:c0:face:b00c:0:167","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","TCP","88","443  >  52204 [ACK] Seq=1 Ack=32 Win=304 Len=0 TSval=3724718664 TSecr=924669364"
"16","0.894609703","2a03:2880:f2ff:c0:face:b00c:0:167","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","TLSv1.2","126","Application Data"
"17","0.894661892","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","2a03:2880:f2ff:c0:face:b00c:0:167","TCP","88","52204  >  443 [ACK] Seq=32 Ack=39 Win=1094 Len=0 TSval=924669739 TSecr=3724718871"
"18","2.474551545","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","2404:6800:4007:802::200e","UDP","1143","50686  >  443 Len=1079"
"19","2.661256290","2404:6800:4007:802::200e","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","UDP","89","443  >  50686 Len=25"
"20","2.661256821","2404:6800:4007:802::200e","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","UDP","132","443  >  50686 Len=68"
"21","2.661256936","2404:6800:4007:802::200e","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","UDP","89","443  >  50686 Len=25"
"22","2.661926071","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","2404:6800:4007:802::200e","UDP","97","50686  >  443 Len=33"
"23","4.412007913","192.168.43.84","104.16.68.69","TCP","56","37918  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"24","4.489917565","104.16.68.69","192.168.43.84","TCP","56","[TCP ACKed unseen segment] 443  >  37918 [ACK] Seq=1 Ack=2 Win=67 Len=0"
"25","4.578073194","5e:b5:dd:e5:ca:4e","","ARP","44","Who has 192.168.43.84? Tell 192.168.43.1"
"26","4.578105109","IntelCor_74:85:f1","","ARP","44","192.168.43.84 is at 40:a3:cc:74:85:f1"
"27","6.180758923","127.0.0.1","127.0.0.53","DNS","93","Standard query 0x68d6 A sockets.leetcode.com OPT"
"28","6.180805547","127.0.0.1","127.0.0.53","DNS","93","Standard query 0xddda AAAA sockets.leetcode.com OPT"
"29","6.181357006","192.168.43.84","192.168.43.1","DNS","82","Standard query 0xdacb A sockets.leetcode.com"
"30","6.181746612","192.168.43.84","192.168.43.1","DNS","82","Standard query 0x7765 AAAA sockets.leetcode.com"
"31","6.190286455","192.168.43.1","192.168.43.84","DNS","82","Standard query response 0xdacb No such name A sockets.leetcode.com"
"32","6.190723122","127.0.0.53","127.0.0.1","DNS","93","Standard query response 0x68d6 No such name A sockets.leetcode.com OPT"
"33","6.191331294","192.168.43.1","192.168.43.84","DNS","82","Standard query response 0x7765 No such name AAAA sockets.leetcode.com"
"34","6.191667249","127.0.0.53","127.0.0.1","DNS","93","Standard query response 0xddda No such name AAAA sockets.leetcode.com OPT"
"35","6.459992466","192.168.43.84","199.232.21.253","TCP","68","43226  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=454704501 TSecr=3151848268"
"36","6.498595134","199.232.21.253","192.168.43.84","TCP","68","[TCP ACKed unseen segment] 443  >  43226 [ACK] Seq=1 Ack=2 Win=85 Len=0 TSval=3151893353 TSecr=454343427"
"37","8.552319943","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","2620:1ec:21::14","TCP","76","42460  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"38","8.802337944","2620:1ec:21::14","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","TCP","76","[TCP ACKed unseen segment] 443  >  42460 [ACK] Seq=1 Ack=2 Win=2049 Len=0"
"39","11.463134738","2620:119:50e3:101::6cae:b45","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","TLSv1.2","180","Application Data"
"40","11.463160262","2401:4900:2fe4:cd3f:48d3:9274:7323:9cc8","2620:119:50e3:101::6cae:b45","TCP","88","36842  >  443 [ACK] Seq=1 Ack=93 Win=501 Len=0 TSval=54747307 TSecr=447767666"
