"No.","Time","Source","Destination","Protocol","Length","Info"
"11","0.606693684","4a:69:6b:b7:46:fa","","ARP","44","Who has 192.168.42.76? Tell 192.168.42.129"
"12","0.606714102","62:15:7a:80:a4:4c","","ARP","44","192.168.42.76 is at 62:15:7a:80:a4:4c"
"13","0.846721263","LiteonTe_b9:7d:1b","","ARP","44","Who has 192.168.29.1? Tell 192.168.29.41"
"14","0.846741094","2405:201:5005:b827:55fe:fc17:e609:f573","ff02::1:ffa8:1d01","ICMPv6","88","Neighbor Solicitation for 2405:201:5005:b827::c0a8:1d01 from 98:22:ef:b9:7d:1b"
"15","1.522830062","127.0.0.1","127.0.0.53","DNS","145","Standard query 0x0cb1 PTR 2.8.c.4.3.a.a.b.1.6.2.6.f.5.6.f.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa OPT"
"16","1.870755416","2405:201:5005:b827:55fe:fc17:e609:f573","2405:201:5005:b827:55fe:fc17:e609:f573","ICMPv6","202","Destination Unreachable (Address unreachable)"
"17","1.870793783","192.168.29.41","192.168.29.41","ICMP","119","Destination unreachable (Host unreachable)"
"18","1.870801334","192.168.29.41","192.168.29.41","ICMP","162","Destination unreachable (Host unreachable)"
"19","1.870951443","2405:201:5005:b827:55fe:fc17:e609:f573","ff02::1:ffa8:1d01","ICMPv6","88","Neighbor Solicitation for 2405:201:5005:b827::c0a8:1d01 from 98:22:ef:b9:7d:1b"
"20","1.871022761","LiteonTe_b9:7d:1b","","ARP","44","Who has 192.168.29.1? Tell 192.168.29.41"
"28","2.894799382","LiteonTe_b9:7d:1b","","ARP","44","Who has 192.168.29.1? Tell 192.168.29.41"
"29","2.894825474","2405:201:5005:b827:55fe:fc17:e609:f573","ff02::1:ffa8:1d01","ICMPv6","88","Neighbor Solicitation for 2405:201:5005:b827::c0a8:1d01 from 98:22:ef:b9:7d:1b"
"30","3.179051562","49.44.53.79","192.168.42.76","TCP","68","443  >  48990 [ACK] Seq=1 Ack=1 Win=227 Len=0 TSval=1258161232 TSecr=2723016659"
